"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F"
"12864",3,5,9,6,2,7
"12865",5,0,0,0,0,0
"12866",1,5,5,1,5,5
"12868",0,0,6,0,0,0
"12869",8,5,1,7,1,3
"12870",6,3,7,7,3,4
"12871",0,0,4,3,0,0
"12872",2,1,1,4,5,8
"12875",5,3,5,4,6,5
"12876",0,10,10,0,0,10
"12878",10,0,0,0,0,0
"12879",0,10,5,0,5,8
"12880",0,6,0,0,0,0
"12883",6,8,5,5,4,4
"12884",2,5,5,2,0,0
"12885",4,2,0,2,0,3
"12888",5,5,5,5,5,5
"12890",0,5,0,0,0,0
"12893",0,0,0,0,0,0
"12894",6,0,8,5,4,4
"12895",10,10,2,0,0,0
"12896",4,3,8,6,3,2
"12898",3,5,4,1,0,0
"12899",2,1,1,4,5,4
"12900",0,10,0,0,5,0
"12902",5,5,5,5,5,5
"12903",5,5,5,5,5,5
"12904",5,8,6,8,7,7
"12906",5,0,0,5,0,0
"12908",5,10,5,5,1,1
"12909",7,5,7,7,6,5
"12910",4,1,3,3,0,1
"12911",8,4,8,6,4,5
"12915",5,6,7,4,3,3
"12917",5,0,2,10,1,10
"12918",0,0,0,0,0,0
"12920",3,6,5,4,2,2
"12922",3,0,3,1,0,0
"12923",4,5,3,5,4,5
"12924",0,0,0,0,0,0
"12926",1,1,3,2,1,1
"12927",3,5,2,3,0,0
"12928",0,0,0,0,0,0
"12929",0,0,0,10,0,0
"12930",5,1,5,5,5,5
"12931",2,3,2,3,1,1
"12932",2,10,5,1,2,1
"12934",0,0,0,0,0,0
"12936",10,1,5,1,1,2
"12938",6,0,6,6,5,0
"12940",5,3,5,1,1,1
"12941",0,4,4,1,3,2
"12942",8,5,1,0,1,0
"12944",1,10,2,10,2,5
"12945",3,8,4,4,8,8
"12948",7,2,7,5,6,5
"12950",3,5,3,1,5,1
"12951",0,3,0,0,3,5
"12953",4,0,8,0,0,0
"12955",2,2,4,2,1,2
"12957",5,5,2,6,4,4
"12958",5,1,3,5,1,1
"12959",5,3,8,5,3,3
"12961",0,5,0,0,5,0
"12962",5,6,7,5,4,4
"12963",0,0,0,0,0,0
"12965",0,5,5,3,3,3
"12966",10,0,10,0,0,0
"12967",8,7,4,5,4,4
"12969",7,8,9,8,9,7
"12970",2,0,2,1,0,1
"12971",7,10,7,6,7,7
"12973",0,10,0,0,0,8
"12975",3,5,7,4,10,7
"12976",2,10,8,2,2,1
"12977",8,5,0,7,5,2
"12978",8,2,2,2,2,2
"12979",0,10,0,0,3,0
"12980",0,10,0,0,0,0
"12982",0,3,0,0,3,3
"12984",0,4,2,4,3,6
"12985",0,5,0,5,5,5
"12986",10,4,8,4,2,4
"12988",9,9,9,9,9,9
"12990",0,0,0,0,0,0
"12993",3,3,5,5,5,4
"12995",5,0,2,5,0,2
"12999",3,3,5,5,4,5
"13000",3,5,5,3,2,2
"13001",0,0,8,3,7,0
"13003",0,4,4,0,0,0
"13004",0,10,0,0,0,0
"13007",0,0,0,0,0,0
"13008",6,4,8,5,4,4
"13012",1,2,1,1,2,1
"13013",0,0,5,0,0,0
"13014",1,6,0,5,3,2
"13019",0,10,1,10,5,5
"13020",4,0,1,2,1,2
"13021",3,2,3,3,1,1
"13022",4,3,8,3,2,2
"13024",7,5,3,7,3,3
"13027",5,10,8,10,8,8
"13028",5,0,0,5,0,5
"13029",3,4,5,3,3,2
"13031",8,5,5,8,3,3
"13034",5,8,5,3,6,4
