"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G"
"13763",8,9,0,8,4,7,5
"13764",8,6,0,8,6,5,10
"13765",9,7,1,7,3,6,4
"13766",8,5,0,6,4,2,2
"13767",9,5,1,8,8,7,9
"13768",8,6,0,6,8,7,4
"13769",6,7,0,5,7,8,4
"13770",7,7,0,4,6,8,2
"13771",10,7,0,10,2,8,9
"13772",6,9,0,4,8,9,5
"13773",9,7,1,7,3,7,8
"13774",6,7,0,0,6,7,5
"13775",7,5,0,5,2,8,1
"13776",5,5,5,5,5,5,5
"13777",5,3,0,3,2,8,1
"13778",6,6,0,5,9,6,1
"13779",7,9,2,5,8,8,6
"13780",1,9,0,2,6,8,0
"13781",7,2,0,5,2,6,7
"13782",5,8,0,1,6,6,5
"13783",9,8,0,7,2,10,4
"13784",6,5,0,4,4,8,3
"13785",5,4,7,7,2,2,6
"13786",9,6,0,5,7,8,5
"13787",9,7,0,7,5,10,3
"13788",8,6,0,4,3,7,4
"13789",8,9,0,7,2,8,1
"13790",8,2,5,8,0,0,10
"13791",8,7,0,9,0,8,5
"13792",9,6,0,6,7,7,9
"13793",10,3,0,10,2,8,10
"13794",0,7,0,2,10,10,0
"13795",10,8,0,7,0,8,7
"13796",5,10,0,5,3,5,5
"13797",6,10,0,7,6,7,7
"13798",8,8,2,6,7,2,10
"13800",7,8,0,7,0,8,4
"13801",2,9,0,1,5,9,1
"13802",10,9,0,8,2,8,6
"13803",7,9,1,7,8,8,2
"13804",9,8,0,6,5,6,5
"13805",9,7,0,8,6,8,7
"13806",2,9,0,5,8,7,3
"13807",9,4,6,7,4,5,8
"13808",7,7,0,6,4,8,5
"13809",2,1,9,1,1,1,4
"13810",9,6,0,9,7,10,5
"13811",6,8,0,4,6,4,6
"13812",1,9,0,1,6,4,0
"13813",7,8,0,6,4,7,4
"13814",9,7,0,7,5,9,8
"13816",5,7,0,3,8,9,1
"13817",10,9,0,8,6,9,2
"13818",2,6,0,3,3,5,2
"13819",8,9,6,5,9,5,7
"13820",10,7,6,8,7,8,8
"13821",8,6,4,5,4,5,7
"13823",8,2,2,8,0,0,10
"13824",5,2,3,8,3,4,7
"13825",0,0,7,0,0,0,1
"13826",9,8,5,7,6,6,9
"13827",9,9,0,8,8,8,8
"13828",8,7,1,7,2,6,5
"13829",8,8,0,7,4,6,8
"13830",8,8,0,7,3,7,7
"13831",9,8,6,8,7,7,6
"13832",4,10,2,7,8,6,7
"13833",7,7,1,6,6,9,7
"13834",4,4,0,0,3,3,4
"13835",10,8,0,8,0,8,9
"13837",7,7,5,7,5,5,7
"13838",4,7,0,6,2,8,2
"13839",7,10,2,6,9,8,5
"13840",3,1,5,4,7,3,6
"13841",9,4,0,5,1,4,7
"13843",8,5,0,6,0,6,5
"13844",3,9,0,5,9,9,2
"13845",0,3,8,0,4,0,0
"13846",8,10,0,3,3,4,0
"13847",8,8,0,6,5,8,7
"13848",8,2,0,3,0,4,7
"13849",4,4,0,3,8,9,3
"13850",7,9,0,7,5,8,4
"13851",6,6,0,7,8,9,5
"13852",3,10,0,2,6,7,2
"13853",8,7,3,7,5,6,7
"13854",5,7,5,6,6,8,6
"13855",10,9,0,8,5,7,10
"13856",5,7,4,7,5,8,6
"13857",6,6,6,5,5,4,6
"13858",9,7,4,6,3,2,9
"13859",5,5,0,5,5,5,5
"13860",8,7,6,6,9,6,8
"13861",9,5,7,8,3,3,9
"13862",7,7,2,5,5,8,7
"13863",5,7,8,3,3,7,5
"13864",3,3,0,2,5,4,1
"13865",8,9,0,6,0,9,4
"13866",9,1,0,9,0,4,5
"13867",7,7,4,8,10,5,7
"13868",9,7,5,7,6,6,8
"13869",9,8,4,6,5,7,7
"13870",7,7,0,2,8,1,0
"13871",8,8,2,6,5,5,5
"13872",3,5,7,0,4,1,6
"13873",6,6,2,7,8,7,6
"13874",8,8,0,7,7,8,5
"13875",9,7,0,7,0,6,2
"13876",8,5,2,6,0,5,8
"13877",9,5,5,7,6,6,9
"13878",5,5,1,7,7,3,5
"13879",9,8,0,8,5,8,8
"13880",6,7,2,5,8,7,6
"13881",10,7,1,7,1,7,9
"13882",9,7,0,5,2,7,5
